Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Monster High: Ghoul Spirit,Wii,2011,Misc,THQ,0.42,0.07,0,0.04,0.53,,,tbd,,THQ,E
Fortune Street,Wii,2011,Misc,Nintendo,0.25,0.03,0.17,0.02,0.48,68,42,7.5,24,Marvelous AQL,E
Dragon Quest 25 Shuunen Kinin: Famicom & Super Famicom Dragon Quest I-II-III,Wii,2011,Role-Playing,Square Enix,0,0,0.47,0,0.47,,,,,,
Country Dance 2,Wii,2011,Misc,GameMill Entertainment,0.43,0,0,0.03,0.45,,,tbd,,High Voltage Software,E10+
Madden NFL 12,Wii,2011,Sports,Electronic Arts,0.41,0,0,0.03,0.44,,,6.2,5,EA Tiburon,E
Just Dance: Summer Party,Wii,2011,Misc,Ubisoft,0.4,0,0,0.02,0.42,,,tbd,,Ubisoft,E10+
SpongeBob SquigglePants,Wii,2011,Misc,THQ,0.35,0.02,0,0.03,0.4,59,12,tbd,,WayForward,E
Fishing Resort,Wii,2011,Sports,Namco Bandai Games,0.14,0,0.25,0.01,0.39,69,9,7,8,Prope,E
Taiko no Tatsujin Wii: Ketteiban,Wii,2011,Misc,Namco Bandai Games,0,0,0.39,0,0.39,,,,,,
Disney Princess: Enchanting Storybooks,Wii,2011,Misc,THQ,0.25,0.1,0,0.03,0.39,,,tbd,,Page 44 Studios,E
Cabela's Big Game Hunter 2012,Wii,2011,Sports,Activision,0.33,0.02,0,0.02,0.37,,,tbd,,Activision,T
Tiger Woods PGA Tour 12: The Masters,Wii,2011,Sports,Electronic Arts,0.2,0.11,0,0.03,0.34,85,14,6.7,7,Electronic Arts,E
WWE '12,Wii,2011,Fighting,THQ,0.23,0.08,0,0.03,0.34,74,6,5.2,9,Yuke's,T
NBA 2K12,Wii,2011,Sports,Take-Two Interactive,0.29,0.03,0,0.02,0.34,,,6.8,6,Visual Concepts,E
Harry Potter and the Deathly Hallows - Part 2,Wii,2011,Action,Electronic Arts,0.17,0.13,0,0.03,0.33,47,6,6.6,5,EA Bright Light,T
We Sing Deutsche Hits,Wii,2011,Misc,Nordic Games,0,0.29,0,0.04,0.33,,,,,,
Mystery Case Files: The Malgrave Incident,Wii,2011,Adventure,Nintendo,0.17,0.13,0,0.03,0.32,65,26,8.2,5,Sanzaru Games,E
The Adventures of Tintin: The Game,Wii,2011,Action,Ubisoft,0.12,0.16,0,0.04,0.32,,,5.7,6,Ubisoft Montpellier,E10+
Power Rangers Samurai,Wii,2011,Action,Namco Bandai Games,0.27,0.02,0,0.02,0.32,45,4,tbd,,Inti Creates,E10+
Wipeout 2,Wii,2011,Misc,Activision,0.3,0,0,0.02,0.32,,,tbd,,Endemol,E10+
Pandora's Tower,Wii,2011,Role-Playing,Nintendo,0.11,0.1,0.08,0.02,0.31,73,48,8,99,Ganbarion,T
Karaoke Revolution Glee: Volume 3,Wii,2011,Misc,Konami Digital Entertainment,0.23,0.04,0,0.02,0.29,,,tbd,,Hijinx Studios,T
The Smurfs: Dance Party,Wii,2011,Misc,Ubisoft,0.21,0.04,0,0.02,0.28,,,tbd,,Land Ho!,E
Need for Speed: The Run,Wii,2011,Action,Electronic Arts,0.11,0.12,0.01,0.03,0.27,64,6,3.6,21,Firebrand Games,E10+
Just Dance Kids 2,Wii,2011,Misc,Ubisoft,0.25,0,0,0.02,0.27,,,tbd,,Ubisoft,E
Inazuma Eleven Strikers,Wii,2011,Role-Playing,Nintendo,0,0.01,0.25,0,0.26,59,16,7.9,10,Level 5,
"Barbie: Jet, Set & Style!",Wii,2011,Misc,THQ,0.22,0.01,0,0.02,0.25,,,,,,
Nickelodeon Dance,Wii,2011,Misc,Take-Two Interactive,0.21,0.01,0,0.01,0.24,,,tbd,,High Voltage Software,E
NASCAR 2011: The Game,Wii,2011,Racing,Activision,0.21,0,0,0.01,0.22,42,5,3.1,9,Eutechnyx,E
Karaoke Revolution Glee 2: Road to Regionals,Wii,2011,Misc,Konami Digital Entertainment,0.14,0.06,0,0.02,0.22,,,,,,
Puss in Boots,Wii,2011,Action,THQ,0.19,0.01,0,0.01,0.21,,,tbd,,Blitz Games,E10+
Pro Evolution Soccer 2012,Wii,2011,Action,Konami Digital Entertainment,0.08,0.08,0.03,0.02,0.21,79,9,7,12,Konami,E
Now! That's What I Call Music: Dance & Sing,Wii,2011,Misc,Unknown,0,0.17,0,0.04,0.21,,,,,,
You Don't Know Jack,Wii,2011,Misc,THQ,0.19,0,0,0.01,0.21,81,5,7.7,6,"Jellyvision, Iron Galaxy Studios",T
Cabela's Survival: Shadows of Katmai,Wii,2011,Sports,Activision,0.14,0.04,0,0.01,0.2,,,8,5,Activision,T
Just Dance 2: Extra Songs,Wii,2011,Misc,Ubisoft,0,0.17,0,0.03,0.2,,,,,,
Rune Factory: Tides of Destiny,Wii,2011,Role-Playing,Marvelous Interactive,0.13,0,0.06,0.01,0.19,,,7,11,Neverland,E10+
Inazuma Eleven Strikers 2012 Xtreme,Wii,2011,Role-Playing,Level 5,0,0,0.19,0,0.19,,,,,,
WWE All Stars,Wii,2011,Fighting,THQ,0.1,0.07,0,0.02,0.19,68,11,7,8,THQ,T
Family Feud: 2012 Edition,Wii,2011,Misc,Ubisoft,0.17,0,0,0.01,0.19,,,tbd,,"Ubisoft, Ludia Inc.",E10+
NASCAR Unleashed,Wii,2011,Racing,Activision,0.17,0,0,0.01,0.18,,,tbd,,Firebrand Games,E
UFC Personal Trainer: The Ultimate Fitness System,Wii,2011,Sports,THQ,0.11,0.06,0,0.02,0.18,54,5,tbd,,THQ,E
Sing4: The Hits Edition,Wii,2011,Misc,Crave Entertainment,0.17,0,0,0.01,0.18,,,tbd,,Crave,T
Rio,Wii,2011,Misc,THQ,0.13,0.03,0,0.01,0.18,,,tbd,,Eurocom Entertainment Software,E10+
de Blob 2,Wii,2011,Platform,THQ,0.11,0.06,0,0.02,0.18,79,20,8.1,26,Blue Tongue Entertainment,E10+
Marvel Super Hero Squad: Comic Combat,Wii,2011,Action,THQ,0.14,0.03,0,0.01,0.18,,,tbd,,THQ,E10+
Cabela's Adventure Camp,Wii,2011,Misc,Activision,0.14,0.02,0,0.02,0.17,,,tbd,,Cauldron Ltd.,E
uDraw Studio: Instant Artist,Wii,2011,Misc,THQ,0.06,0.09,0,0.02,0.17,,,tbd,,THQ,E
Transformers: Dark of the Moon,Wii,2011,Action,Activision,0.09,0.06,0,0.02,0.17,,,,,,
Driver: San Francisco,Wii,2011,Racing,Ubisoft,0.06,0.09,0,0.02,0.16,64,7,6.2,10,Ubisoft Reflections,T
Family Game Night 4: The Game Show,Wii,2011,Misc,Electronic Arts,0.12,0.03,0,0.01,0.16,,,tbd,,Electronic Arts,E
Major League Baseball 2K11,Wii,2011,Sports,Take-Two Interactive,0.14,0,0,0.01,0.15,,,tbd,,Visual Concepts,E
We Sing UK Hits,Wii,2011,Misc,Nordic Games,0,0.13,0,0.02,0.15,,,tbd,,Le Cortex,T
The Oregon Trail,Wii,2011,Simulation,Crave Entertainment,0.14,0,0,0.01,0.15,,,,,,
Thor: God of Thunder,Wii,2011,Action,Sega,0.1,0.04,0,0.01,0.15,56,14,8,9,Red Fly Studio,T
We Dance,Wii,2011,Misc,Nordic Games,0,0.13,0,0.02,0.15,,,tbd,,Nordic Games Publishing,
Trivial Pursuit: Bet You Know It,Wii,2011,Misc,Electronic Arts,0.09,0.04,0,0.01,0.15,,,tbd,,Electronic Arts,T
Top Spin 4,Wii,2011,Sports,Take-Two Interactive,0.04,0.08,0,0.02,0.14,54,8,7.4,7,2K Games,E
Virtua Tennis 4,Wii,2011,Sports,Sega,0.05,0.08,0,0.01,0.14,65,15,7.5,4,Sega,E
Nicktoons: MLB,Wii,2011,Sports,Take-Two Interactive,0.13,0,0,0.01,0.14,,,tbd,,High Voltage Software,E
Kung Fu Panda 2,Wii,2011,Action,THQ,0.07,0.05,0,0.01,0.13,,,,,,
DreamWorks Super Star Kartz,Wii,2011,Racing,Activision,0.08,0.03,0,0.01,0.13,,,tbd,,Activision,E
NCIS,Wii,2011,Adventure,Ubisoft,0.08,0.04,0,0.01,0.13,,,tbd,,Ubisoft,T
Sengoku Basara 3 Utage,Wii,2011,Action,Capcom,0,0,0.13,0,0.13,,,,,,
Top Shot Arcade,Wii,2011,Shooter,Activision,0.12,0,0,0.01,0.13,,,tbd,,Activision,T
Deepak Chopra's Leela,Wii,2011,Misc,THQ,0.1,0.01,0,0.01,0.12,,,tbd,,Curious Pictures,E
Rango: The Video Game,Wii,2011,Action,Electronic Arts,0.07,0.04,0,0.01,0.12,52,8,tbd,,Behaviour Interactive,E10+
Ben 10 Galactic Racing,Wii,2011,Racing,D3Publisher,0.08,0.03,0,0.01,0.12,,,tbd,,Monkey Bar Games,E
Conduit 2,Wii,2011,Shooter,Sega,0.07,0.04,0,0.01,0.12,64,51,7.6,60,High Voltage Software,T
McDROID,Wii,2011,Strategy,Namco Bandai Games,0,0,0.12,0,0.12,,,,,,
The Price is Right: Decades,Wii,2011,Misc,Ubisoft,0.11,0,0,0.01,0.12,,,tbd,,Ludia Inc.,E10+
Get Up and Dance,Wii,2011,Misc,O-Games,0.06,0.04,0,0.01,0.11,,,tbd,,Crave,T
Winter Stars,Wii,2011,Sports,Deep Silver,0.05,0.05,0,0.01,0.11,,,tbd,,49Games,E
Hasbro Family Game Night Fun Pack,Wii,2011,Misc,Electronic Arts,0.1,0,0,0.01,0.11,,,tbd,,Virtuos,E
Fit in Six,Wii,2011,Sports,Ubisoft,0.1,0,0,0.01,0.11,,,tbd,,Blue Byte,E
"Sesame Street: Ready, Set, Grover!",Wii,2011,Misc,Warner Bros. Interactive Entertainment,0.1,0,0,0.01,0.1,,,,,,
Heavy Fire: Afghanistan,Wii,2011,Shooter,Mastiff,0.09,0,0,0.01,0.1,,,tbd,,Teyon,T
X-Men: Destiny,Wii,2011,Action,Activision,0.07,0.02,0,0.01,0.1,36,10,4.5,15,Silicon Knights,T
National Geographic Challenge!,Wii,2011,Misc,Black Bean Games,0.07,0.02,0,0.01,0.09,,,,,,
Green Lantern: Rise of the Manhunters,Wii,2011,Action,Warner Bros. Interactive Entertainment,0.05,0.03,0,0.01,0.09,46,4,tbd,,Double Helix Games,E10+
Alvin and the Chipmunks: Chipwrecked,Wii,2011,Misc,505 Games,0.07,0.01,0,0.01,0.09,,,tbd,,Behaviour Interactive,E10+
Monopoly Collection,Wii,2011,Misc,Electronic Arts,0.02,0.07,0,0.01,0.09,,,tbd,,Virtuos,E
Champion Jockey: G1 Jockey & Gallop Racer,Wii,2011,Sports,Tecmo Koei,0.04,0.03,0.01,0.01,0.09,,,,,,
Rock Band Country Track Pack 2,Wii,2011,Misc,MTV Games,0.08,0,0,0.01,0.09,,,tbd,,Electronic Arts,E10+
Remington Super Slam Hunting: Alaska,Wii,2011,Sports,Mastiff,0.08,0,0,0.01,0.09,,,tbd,,"Jack of All Games, eV Interactive",T
Spider-Man: Edge of Time,Wii,2011,Action,Activision,0.06,0.02,0,0.01,0.09,62,9,5.2,6,Beenox,T
BIT.TRIP COMPLETE,Wii,2011,Misc,Rising Star Games,0.06,0.02,0,0.01,0.09,84,19,8.7,18,Gaijin Games,E
Jaws: Ultimate Predator,Wii,2011,Action,Majesco Entertainment,0.08,0,0,0.01,0.08,,,6.3,4,Tectonic Studios,T
Generator Rex: Agent of Providence,Wii,2011,Action,Activision,0.06,0.01,0,0.01,0.08,,,tbd,,Virtuos,E10+
Cartoon Network: Punch Time Explosion XL,Wii,2011,Fighting,Crave Entertainment,0.07,0.01,0,0.01,0.08,,,,,,
Super Sentai Battle: Ranger Cross,Wii,2011,Action,Namco Bandai Games,0,0,0.08,0,0.08,,,,,,
Sengoku Musou 3: Moushouden ,Wii,2011,Action,Ackkstudios,0,0,0.08,0,0.08,,,,,,
The $1 Pyramid,Wii,2011,Misc,Ubisoft,0.07,0,0,0.01,0.08,,,,,,
Man vs. Wild,Wii,2011,Action,Crave Entertainment,0.07,0,0,0,0.08,,,tbd,,Scientifically Proven,T
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,Wii,2011,Action,THQ,0.04,0.03,0,0.01,0.08,,,,,,
Jimmie Johnson's Anything With an Engine,Wii,2011,Racing,Konami Digital Entertainment,0.07,0,0,0,0.07,,,tbd,,Isopod Labs,E10+
We Sing Rock!,Wii,2011,Misc,Nordic Games,0,0.06,0,0.01,0.07,,,,,,
Winter Sports 2011,Wii,2011,Sports,DTP Entertainment,0,0.06,0,0.01,0.07,,,,,DTP Entertainment,
Billy's Boot Camp: Wii de Enjoy Diet!,Wii,2011,Sports,Rocket Company,0,0,0.07,0,0.07,,,,,,
Santa Claus Is Comin' to Town!,Wii,2011,Puzzle,Crave Entertainment,0.06,0,0,0,0.06,,,tbd,,1st Playable Productions,E
My Fitness Coach: Club,Wii,2011,Sports,Ubisoft,0,0.05,0,0.01,0.05,,,,,,
Centipede: Infestation,Wii,2011,Shooter,Atari,0.05,0,0,0,0.05,,,tbd,,WayForward,E10+
Back to the Future: The Game,Wii,2011,Adventure,Telltale Games,0.05,0,0,0,0.05,66,7,4.1,9,Iron Galaxy Studios,T
Gem Smashers,Wii,2011,Platform,Crave Entertainment,0.04,0,0,0,0.05,,,tbd,,Frame Studios Interactive,E
SD Gundam G Generation World,Wii,2011,Strategy,Namco Bandai Games,0,0,0.05,0,0.05,,,,,,
Active Life: Magical Carnival,Wii,2011,Misc,Namco Bandai Games,0.03,0.01,0,0,0.04,,,tbd,,Bandai Namco Games,E
Jerry Rice and Nitus' Dog Football,Wii,2011,Sports,Tommo,0.04,0,0,0,0.04,,,,,,
Wicked Monster Blast!,Wii,2011,Shooter,PQube,0.03,0,0,0,0.04,,,,,,
Beastly,Wii,2011,Misc,Unknown,0.03,0,0,0,0.03,,,tbd,,Visual Impact,E10+
Max & the Magic Marker,Wii,2011,Platform,Unknown,0,0.03,0,0,0.03,,,,,,
Let's Dance with Mel B,Wii,2011,Sports,Black Bean Games,0,0.02,0,0,0.02,,,tbd,,Lightning Fish Games,T
Chuck E. Cheese's Sports Games,Wii,2011,Sports,UFO Interactive,0.02,0,0,0,0.02,,,tbd,,UFO Interactive,E
Dance Dance Revolution: Hottest Party 5,Wii,2011,Misc,Konami Digital Entertainment,0,0.02,0,0,0.02,,,,,,
TV Total Events,Wii,2011,Misc,7G//AMES,0,0.02,0,0,0.02,,,,,,
Bigfoot King of Crush,Wii,2011,Racing,Zoo Games,0.02,0,0,0,0.02,,,tbd,,Zoo Games,E
Chuck E. Cheese's Super Collection,Wii,2011,Action,UFO Interactive,0.02,0,0,0,0.02,,,tbd,,UFO Interactive,E
Earth Seeker,Wii,2011,Role-Playing,Kadokawa Shoten,0,0,0.02,0,0.02,,,,,,
Germany's Next Topmodel 2011,Wii,2011,Simulation,7G//AMES,0,0.02,0,0,0.02,,,,,,
Summer Challenge: Athletics Tournament,Wii,2011,Sports,PQube,0,0.01,0,0,0.02,,,,,,
Gummy Bears Magical Medallion,Wii,2011,Platform,Storm City Games,0.01,0,0,0,0.02,,,tbd,,Clockwork Games,E
Aladdin Magic Racer,Wii,2011,Racing,Big Ben Interactive,0.01,0,0,0,0.01,,,,,"Bigben Interactive, Red Wagon Games",E
Just Dance 2,Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74,24,7.3,24,Ubisoft,E10+
Wii Party,Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,68,42,7.4,54,Nd Cube,E
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97,87,9.1,1854,Nintendo EAD Tokyo,E
Zumba Fitness,Wii,2010,Sports,505 Games,3.45,2.59,0,0.66,6.71,,,tbd,,"Pipeworks Software, Inc.",E
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44,87,77,8.6,368,Retro Studios,E
Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,2.64,1.33,0.01,0.39,4.36,56,37,8.3,31,"Ubisoft Paris, Ubisoft Montpellier",E10+
Epic Mickey,Wii,2010,Platform,Disney Interactive Studios,2.04,0.63,0.12,0.22,3,73,78,7,131,Junction Point,E
Super Mario All-Stars: Limited Edition,Wii,2010,Platform,Nintendo,0.99,0.52,0.92,0.14,2.56,,,,,,
LEGO Harry Potter: Years 1-4,Wii,2010,Action,Warner Bros. Interactive Entertainment,1.28,0.93,0,0.22,2.43,79,13,8,34,Traveller's Tales,E10+
uDraw Studio,Wii,2010,Misc,THQ,1.65,0.57,0,0.2,2.42,71,9,tbd,,THQ,E
Just Dance Kids,Wii,2010,Misc,Ubisoft,1.52,0.54,0,0.18,2.24,,,tbd,,Ubisoft,E
Mario Sports Mix,Wii,2010,Sports,Nintendo,0.88,0.44,0.63,0.12,2.08,64,54,7.1,34,Square Enix,E
Kirby's Epic Yarn,Wii,2010,Platform,Nintendo,1.42,0.09,0.45,0.1,2.06,,,,,,
GoldenEye 007 (2010),Wii,2010,Action,Activision,0.84,0.7,0.13,0.16,1.83,,,,,,
Sonic Colors,Wii,2010,Platform,Sega,0.92,0.6,0.01,0.15,1.68,78,58,8.5,301,Sonic Team,E
Sonic & Sega All-Stars Racing,Wii,2010,Racing,Sega,0.61,0.68,0,0.15,1.44,,,,,,
The Sims 3,Wii,2010,Simulation,Electronic Arts,0.57,0.69,0,0.14,1.41,,,2.5,31,The Sims Studio,T
Toy Story 3: The Video Game,Wii,2010,Action,Disney Interactive Studios,0.63,0.62,0,0.14,1.38,,,,,,
Call of Duty: Black Ops,Wii,2010,Shooter,Activision,0.8,0.45,0,0.12,1.37,80,25,5.8,87,Treyarch,M
Metroid: Other M,Wii,2010,Action,Nintendo,0.85,0.27,0.13,0.1,1.34,79,71,6.5,482,Team Ninja,T
EA Sports Active 2,Wii,2010,Sports,Electronic Arts,0.76,0.39,0,0.11,1.26,79,8,8.1,22,EA Canada,E
FIFA Soccer 11,Wii,2010,Sports,Electronic Arts,0.26,0.69,0,0.12,1.07,73,17,7.3,8,EA Sports,E
Dance on Broadway,Wii,2010,Misc,Ubisoft,0.25,0.65,0,0.12,1.02,48,6,3.3,4,Longtail Studios,E10+
Wheel of Fortune,Wii,2010,Misc,THQ,0.86,0.04,0,0.06,0.97,,,7.6,5,THQ,E
Guitar Hero: Warriors of Rock,Wii,2010,Misc,Activision,0.47,0.4,0,0.09,0.96,77,26,7.5,17,"Vicarious Visions, Neversoft Entertainment",T
Club Penguin: Game Day!,Wii,2010,Sports,Disney Interactive Studios,0.54,0.32,0,0.08,0.94,,,,,,
Nickelodeon Fit,Wii,2010,Sports,Take-Two Interactive,0.76,0.09,0,0.06,0.91,,,tbd,,High Voltage Software,E
Xenoblade Chronicles,Wii,2010,Role-Playing,Nintendo,0.43,0.25,0.16,0.07,0.91,92,59,8.9,950,Monolith Soft,T
Pictionary,Wii,2010,Puzzle,THQ,0.6,0.19,0,0.07,0.85,71,7,tbd,,Page 44 Studios,E
Gold's Gym: Dance Workout,Wii,2010,Sports,Ubisoft,0.69,0.1,0,0.06,0.85,,,tbd,,Land Ho!,E10+
Karaoke Revolution Glee,Wii,2010,Misc,Konami Digital Entertainment,0.51,0.24,0,0.07,0.82,,,tbd,,Konami,T
Hasbro Family Game Night 3,Wii,2010,Misc,Electronic Arts,0.46,0.27,0,0.07,0.8,,,tbd,,Electronic Arts,E
EA Sports Active NFL Training Camp,Wii,2010,Sports,Electronic Arts,0.75,0,0,0.05,0.79,,,tbd,,EA Sports,E
Star Wars: The Force Unleashed II,Wii,2010,Action,LucasArts,0.52,0.18,0,0.06,0.76,71,10,7.8,31,"LucasArts, Red Fly Studio",T
Raving Rabbids: Travel in Time,Wii,2010,Adventure,Ubisoft,0.21,0.46,0,0.08,0.75,62,24,7.6,14,Ubisoft,E10+
Monopoly Streets,Wii,2010,Misc,Electronic Arts,0.23,0.42,0,0.08,0.72,65,9,5.2,5,Electronic Arts,E
Disney Tangled,Wii,2010,Action,Disney Interactive Studios,0.46,0.16,0,0.05,0.67,,,,,,
The Biggest Loser: Challenge,Wii,2010,Sports,THQ,0.48,0.12,0,0.05,0.65,,,tbd,,Blitz Games Studios,E
Disney Sing It: Party Hits,Wii,2010,Misc,Disney Interactive Studios,0.48,0.1,0,0.04,0.63,,,tbd,,Disney Interactive Studios,E
Rock Band 3,Wii,2010,Misc,MTV Games,0.53,0.06,0,0.04,0.63,91,10,6.9,36,Backbone Entertainment,T
Red Steel 2,Wii,2010,Shooter,Ubisoft,0.35,0.2,0.01,0.06,0.62,80,73,8.6,178,Ubisoft Paris,T
DJ Hero 2,Wii,2010,Misc,Activision,0.48,0.09,0,0.04,0.62,88,20,7.5,17,FreeStyleGames,T
Pac-Man Party,Wii,2010,Misc,Namco Bandai Games,0.47,0.08,0.01,0.04,0.61,59,14,5.9,8,TOSE,E10+
Cabela's Monster Buck Hunter,Wii,2010,Sports,Activision,0.57,0,0,0.03,0.61,,,tbd,,FUN Labs,T
New Carnival Games,Wii,2010,Misc,Take-Two Interactive,0.33,0.21,0,0.05,0.59,,,tbd,,Cat Daddy Games,E
Disney Sing It: Family Hits,Wii,2010,Misc,Disney Interactive Studios,0.38,0.17,0,0.05,0.59,,,tbd,,Disney Interactive Studios,E
Jeopardy!,Wii,2010,Misc,THQ,0.55,0,0,0.04,0.58,,,,,,
Cabela's Dangerous Hunts 2011,Wii,2010,Sports,Activision,0.52,0.02,0,0.04,0.57,,,tbd,,Activision,T
Tetris Party Deluxe,Wii,2010,Puzzle,Nintendo,0.33,0.16,0.02,0.05,0.56,72,19,5.8,4,"Tetris Online, Inc",E
Grease,Wii,2010,Misc,505 Games,0.26,0.24,0,0.05,0.55,,,,,,
Tony Hawk: Shred,Wii,2010,Sports,Activision,0.39,0.11,0,0.04,0.54,,,7,7,Robomodo,E
Tiger Woods PGA Tour 11,Wii,2010,Sports,Electronic Arts,0.23,0.25,0,0.06,0.54,84,29,8.3,23,EA Sports,E
Harry Potter and the Deathly Hallows - Part 1,Wii,2010,Action,Electronic Arts,0.22,0.27,0,0.05,0.54,41,8,5,11,Electronic Arts,T
Tatsunoko vs. Capcom: Ultimate All-Stars,Wii,2010,Fighting,Capcom,0.3,0.15,0.03,0.05,0.53,85,62,8.8,85,Eighting,T
Monster Jam: Path of Destruction,Wii,2010,Racing,Activision,0.48,0.02,0,0.03,0.53,,,tbd,,Virtuos,E
Alice in Wonderland,Wii,2010,Adventure,Disney Interactive Studios,0.25,0.21,0,0.05,0.51,69,18,7.4,13,Etranges Libellules,E10+
Cars Toon: Mater's Tall Tales,Wii,2010,Misc,Disney Interactive Studios,0.45,0.02,0,0.03,0.5,,,tbd,,Disney Interactive Studios,E
NBA 2K11,Wii,2010,Action,Take-Two Interactive,0.46,0.01,0,0.03,0.49,,,tbd,,Visual Concepts,E
Babysitting Mama,Wii,2010,Simulation,505 Games,0.33,0.12,0,0.04,0.49,,,tbd,,Cooking Mama Limited,E
FlingSmash,Wii,2010,Action,Nintendo,0.37,0.01,0.07,0.02,0.47,48,26,6.8,13,Artoon,E
Need for Speed: Hot Pursuit,Wii,2010,Racing,Electronic Arts,0.17,0.23,0,0.05,0.46,50,8,3.7,18,Exient Entertainment,E10+
WWE SmackDown vs. Raw 2011,Wii,2010,Fighting,THQ,0.29,0.13,0,0.04,0.46,72,7,tbd,,Yuke's,T
Scooby-Doo! and the Spooky Swamp,Wii,2010,Action,Warner Bros. Interactive Entertainment,0.29,0.13,0,0.04,0.45,,,,,,
We Sing Encore,Wii,2010,Misc,Nordic Games,0,0.39,0,0.06,0.45,,,,,,
Disney Guilty Party,Wii,2010,Misc,Disney Interactive Studios,0.42,0,0,0.03,0.45,78,13,8,4,Wideload Games Inc.,E
Walk it Out!,Wii,2010,Sports,Konami Digital Entertainment,0.35,0.05,0,0.03,0.44,,,,,,
2010 FIFA World Cup South Africa,Wii,2010,Sports,Electronic Arts,0.23,0.15,0.01,0.04,0.42,70,19,6.7,11,Electronic Arts,E
How to Train Your Dragon,Wii,2010,Action,Activision,0.23,0.15,0,0.04,0.42,59,11,7,4,Etranges Libellules,E10+
NBA Jam,Wii,2010,Sports,Electronic Arts,0.36,0.02,0,0.02,0.4,79,43,8.5,20,EA Canada,E
No More Heroes 2: Desperate Struggle,Wii,2010,Action,Rising Star Games,0.2,0.11,0.04,0.03,0.39,84,68,8.8,184,Grasshopper Manufacture,M
Super Monkey Ball: Step & Roll,Wii,2010,Action,Sega,0.15,0.19,0,0.04,0.39,,,,,,
Sesame Street: Elmo's A-to-Zoo Adventure,Wii,2010,Misc,Warner Bros. Interactive Entertainment,0.35,0,0,0.02,0.38,,,tbd,,Black Lantern Studios,EC
Green Day: Rock Band,Wii,2010,Misc,MTV Games,0.22,0.11,0,0.03,0.36,76,12,8.8,11,Harmonix Music Systems,T
ZhuZhu Pets: Featuring The Wild Bunch,Wii,2010,Simulation,Activision,0.3,0.03,0,0.03,0.36,,,tbd,,Activision,E
SpongeBob's Boating Bash,Wii,2010,Misc,THQ,0.24,0.07,0,0.03,0.34,,,7.6,5,Impulse Games,E
DanceDanceRevolution,Wii,2010,Simulation,Konami Digital Entertainment,0.28,0.04,0,0.02,0.34,,,tbd,,Konami,E
The X-Factor,Wii,2010,Misc,Deep Silver,0,0.28,0,0.04,0.33,,,,,,
Def Jam Rapstar,Wii,2010,Misc,Konami Digital Entertainment,0.29,0.02,0,0.02,0.33,65,5,tbd,,"Terminal Reality, 4mm Games",T
Family Party: 90 Great Games Party Pack,Wii,2010,Misc,D3Publisher,0.31,0,0,0.02,0.33,,,tbd,,D3Publisher,E10+
Chicken Riot,Wii,2010,Action,City Interactive,0.14,0.15,0,0.03,0.32,,,tbd,,City Interactive,T
Iron Man 2,Wii,2010,Action,Sega,0.15,0.15,0,0.03,0.32,41,11,4.6,12,High Voltage Software,T
Dragon Quest Monsters: Battle Road Victory,Wii,2010,Strategy,Square Enix,0,0,0.32,0,0.32,,,,,,
Taiko no Tatsujin Wii: Minna de Party * 3-Yome!,Wii,2010,Misc,Namco Bandai Games,0,0,0.3,0,0.3,,,,,,
Rapala Pro Bass Fishing 2010,Wii,2010,Sports,Activision,0.22,0.05,0,0.03,0.3,,,tbd,,FUN Labs,E
MySims SkyHeroes,Wii,2010,Action,Electronic Arts,0.16,0.1,0,0.03,0.29,67,9,5.2,5,Electronic Arts,E10+
ExerBeat,Wii,2010,Sports,Namco Bandai Games,0.1,0.16,0,0.03,0.29,60,9,7.6,5,Namco Bandai Games,E
Shrek: Forever After,Wii,2010,Platform,Activision,0.18,0.09,0,0.03,0.29,,,tbd,,Xpec,E10+
Sesame Street: Cookie's Counting Carnival,Wii,2010,Misc,Warner Bros. Interactive Entertainment,0.27,0,0,0.02,0.29,,,tbd,,Black Lantern Studios,EC
Sengoku Basara: Samurai Heroes,Wii,2010,Action,Capcom,0.06,0.01,0.2,0.01,0.29,65,18,8.8,13,Capcom,T
Ben 10 Ultimate Alien: Cosmic Destruction,Wii,2010,Platform,D3Publisher,0.17,0.09,0,0.02,0.28,,,tbd,,Papaya Studios,E10+
Disney Channel: All Star Party,Wii,2010,Misc,Disney Interactive Studios,0.18,0.08,0,0.02,0.28,,,tbd,,Disney Interactive Studios,E
Batman: The Brave and the Bold the Videogame,Wii,2010,Action,Warner Bros. Interactive Entertainment,0.2,0.05,0,0.02,0.28,,,,,,
Remington Super Slam Hunting: Africa,Wii,2010,Sports,Mastiff,0.25,0,0,0.02,0.27,,,tbd,,Mastiff,T
Transformers: Cybertron Adventures,Wii,2010,Action,Activision,0.14,0.1,0,0.02,0.27,41,15,6.5,8,Next Level Games,T
